experiment,build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
exp09-bf16-dflash,harness-v0.4.8,c2_ctx32768,168.24,303.209,426.383,11.679,85.691,0.1552,0.0622
exp09-bf16-dflash,harness-v0.4.8,c2_ctx65536,166.24,408.22,560.498,11.738,85.528,0.2042,0.0918
exp09-bf16-dflash,harness-v0.4.8,c2_ctx134144,159.404,699.616,955.084,12.129,82.732,0.1767,0.154
exp09-bf16-dflash,harness-v0.4.8,c4_ctx0,323.076,135.711,150.457,12.123,82.809,0.2147,0.0622
exp09-bf16-dflash,harness-v0.4.8,c4_ctx16384,338.466,274.755,462.789,11.684,85.898,0.2146,0.0794
exp09-bf16-dflash,harness-v0.4.8,c4_ctx32768,323.472,430.827,827.606,12.031,83.345,0.194,0.0949
exp09-bf16-dflash,harness-v0.4.8,c4_ctx65536,314.816,587.155,1002.855,12.251,81.872,0.1719,0.1221
exp09-bf16-dflash,harness-v0.4.8,c4_ctx134144,283.842,999.031,1898.474,13.262,75.882,0.2118,0.1852
exp09-bf16-dflash,harness-v0.4.8,c8_ctx0,572.291,152.643,186.306,13.352,75.402,0.2758,0.1221
exp09-bf16-dflash,harness-v0.4.8,c8_ctx16384,579.346,385.353,831.28,13.165,76.632,0.2764,0.1385
exp09-bf16-dflash,harness-v0.4.8,c8_ctx32768,541.335,708.998,1547.022,13.223,80.073,0.3299,0.154
exp09-bf16-dflash,harness-v0.4.8,c8_ctx65536,522.158,1007.495,2057.007,14.48,70.83,0.2188,0.0
exp09-bf16-dflash,harness-v0.4.8,c8_ctx134144,480.201,1943.874,3833.217,15.758,64.375,0.2443,0.2521
exp09-bf16-dflash,harness-v0.4.8,c16_ctx0,885.316,230.209,294.595,17.726,56.657,0.2418,0.2606
exp09-bf16-dflash,harness-v0.4.8,c16_ctx16384,838.506,909.248,1615.492,18.537,54.127,0.1816,0.2777
exp09-bf16-dflash,harness-v0.4.8,c16_ctx32768,835.81,1673.666,3065.021,18.503,54.303,0.2138,0.2902
exp09-bf16-dflash,harness-v0.4.8,c16_ctx65536,774.884,1836.461,4004.829,19.881,50.471,0.24,0.3096
exp09-bf16-dflash,harness-v0.4.8,c16_ctx134144,678.709,3356.879,7765.157,22.117,45.553,0.226,0.3742
