experiment,build,config,phase,rep,cell,concurrency,context_tokens,aggregate_tps,per_request_avg_tps,ttft_avg_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,itl_avg_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,output_tps_per_user_avg,output_tps_per_user_p50,e2e_output_tps_per_user_avg,server_gen_throughput,server_utilization,spec_accept_rate,spec_accept_length,avg_running_reqs,max_running_reqs,queue_fraction,completed_request_count,num_errors,capacity_limited,underfilled,warmup_timed_out,measurement_seconds,source_file
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c8-ctx134144,8,134144,469.554,58.694,2157.662,2261.18,3648.575,3669.495,16.507,16.59,17.369,18.634,60.79,60.28,54.684,469.554,0.2536,0.2195,0.0,7.9,8,0.0,8,0,False,False,False,60.4,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c8-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c16-ctx0,16,0,871.567,54.473,226.316,200.783,311.466,311.939,17.976,17.917,19.058,20.271,55.813,55.813,55.066,871.567,0.2552,0.2141,0.0,15.9,16,0.0,16,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c16-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c16-ctx16384,16,16384,870.178,54.386,885.363,329.472,1577.142,1579.63,17.94,17.838,19.097,19.476,55.875,56.061,53.432,870.178,0.2762,0.1974,0.0,16.0,16,0.0,16,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c16-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c16-ctx32768,16,32768,826.208,51.638,1440.978,539.589,2582.988,2803.752,18.785,18.47,20.925,21.426,53.502,54.142,49.123,826.208,0.291,0.181,0.0,15.9,16,0.0,16,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c16-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c16-ctx65536,16,65536,752.559,47.035,2126.592,1921.106,4113.013,4119.302,20.212,20.067,22.503,23.605,49.801,49.833,43.396,752.559,0.3089,0.2091,0.0,15.9,16,0.0,16,0,False,False,False,60.37,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c16-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c16-ctx134144,16,134144,661.013,41.313,3399.478,2086.935,7701.117,7733.977,22.45,22.379,24.386,25.345,44.77,44.685,38.111,661.013,0.3688,0.2373,0.0,15.8,16,0.0,16,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c16-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c32-ctx0,32,0,1125.263,35.164,351.738,326.987,443.245,444.971,25.466,26.276,29.686,31.233,40.684,38.059,35.373,1125.263,0.473,0.2451,0.0,31.9,32,0.0,32,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c32-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c32-ctx16384,32,16384,1079.001,33.719,1983.533,3151.766,3164.769,3166.843,26.457,27.75,31.014,31.796,39.324,36.037,34.154,1079.001,0.5096,0.2966,0.0,31.9,32,0.0,20,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c32-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c32-ctx32768,32,32768,1004.786,31.4,3784.525,4624.273,5762.144,5768.581,29.05,30.333,33.835,35.063,36.224,32.967,32.005,1004.786,0.0443,0.2563,0.0,32.0,32,0.0,13,0,False,False,False,60.38,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c32-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c32-ctx65536,32,65536,915.74,28.617,6144.96,6884.807,7933.886,7945.018,31.725,34.12,36.226,36.796,34.143,29.308,31.285,915.74,0.5757,0.2476,0.0,31.9,32,0.0,5,0,False,False,False,60.43,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c32-ctx64k.json
