experiment,build,config,phase,rep,cell,concurrency,context_tokens,aggregate_tps,per_request_avg_tps,ttft_avg_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,itl_avg_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,output_tps_per_user_avg,output_tps_per_user_p50,e2e_output_tps_per_user_avg,server_gen_throughput,server_utilization,spec_accept_rate,spec_accept_length,avg_running_reqs,max_running_reqs,queue_fraction,completed_request_count,num_errors,capacity_limited,underfilled,warmup_timed_out,measurement_seconds,source_file
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c16-ctx16384,16,16384,1381.615,86.351,1158.54,391.917,2985.374,2988.972,11.354,11.321,12.171,12.531,88.285,88.331,82.324,1381.615,0.1039,0.5292,0.0,16.0,16,0.0,32,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c16-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c16-ctx32768,16,32768,1246.544,77.909,1061.283,569.712,2908.72,2913.166,12.595,12.628,13.665,14.355,79.736,79.186,75.277,1246.544,0.1102,0.5299,0.0,15.9,16,0.0,32,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c16-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c16-ctx65536,16,65536,1017.02,63.564,3079.068,2256.897,5931.675,5936.823,15.447,15.446,16.468,17.303,64.904,64.74,55.541,1017.02,0.1339,0.5553,0.0,15.9,16,0.0,16,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c16-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c16-ctx134144,16,134144,711.735,44.483,6976.629,6640.675,11184.903,11209.592,20.845,20.893,22.365,23.095,48.133,47.864,38.783,711.735,0.1592,0.5603,0.0,15.4,16,0.0,16,0,False,True,False,60.42,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c16-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c32-ctx0,32,0,2137.356,66.792,247.795,174.2,421.238,423.537,14.619,14.702,15.624,16.634,68.771,68.019,67.265,2137.356,0.1644,0.5132,0.0,31.8,32,0.0,64,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c32-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c32-ctx16384,32,16384,1803.257,56.352,2524.677,816.696,5684.203,5689.941,17.681,17.653,19.075,19.723,56.769,56.648,50.091,1803.257,0.2102,0.5539,0.0,31.8,32,0.0,32,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c32-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c32-ctx32768,32,32768,1584.628,49.52,2620.738,1880.23,6051.859,6057.967,20.069,20.089,21.909,23.063,50.053,49.779,44.707,1584.628,0.2051,0.5466,0.0,31.7,32,0.0,32,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c32-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c32-ctx65536,32,65536,1212.463,37.889,5330.624,3341.851,11182.804,11202.673,27.619,26.705,35.506,39.323,37.207,37.446,33.279,1212.463,0.209,0.5827,0.0,31.6,32,0.0,32,0,False,False,False,60.48,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c32-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c32-ctx134144,32,134144,930.377,29.074,19663.347,23411.895,23467.071,23506.52,33.429,32.584,37.683,38.364,30.11,30.69,36.89,930.377,0.2663,0.5682,0.0,32.0,32,0.0,1,0,False,False,False,60.02,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c32-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,2,c1-ctx0,1,0,90.814,90.814,61.044,61.06,66.376,67.572,10.87,10.918,11.028,11.053,92.019,91.594,92.58,90.814,0.0059,0.5238,0.0,1,1,0.0,2,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run2/c1-ctx0.json
